Date,id,Account Name,Amount Num.,Cash
06/02/2019,126,Toys,33.77,false
14/12/2019,127,Games,30.67,true
28/01/2019,128,Kids,2.64,false
28/06/2019,129,Toys,47.75,true
28/11/2019,130,Baby,47.14,true
19/04/2019,131,Music,44.05,false
08/02/2019,132,Tools,43.72,false
03/05/2019,133,Automotive,47.39,true
01/04/2019,134,Clothing,38.70,true
29/07/2019,135,Sports,24.79,false
10/05/2019,136,Baby,31.28,true
01/03/2019,137,Jewelery,23.57,true
15/01/2019,138,Books,34.45,true
30/11/2019,139,Computers,45.25,true
09/09/2019,140,Movies,44.37,true
24/07/2019,141,Games,9.67,false
06/02/2019,142,Automotive,46.65,true
10/09/2019,143,Beauty,14.81,false
01/11/2019,144,Clothing,45.86,false
12/01/2019,145,Electronics,40.21,false
02/08/2019,146,Games,44.14,true
17/09/2019,147,Computers,21.79,false
10/09/2019,148,Electronics,12.51,true
09/02/2019,149,Industrial,5.14,false
20/09/2019,150,Tools,41.14,false
13/01/2019,151,Clothing,3.93,true
15/01/2019,152,Shoes,30.94,true
02/02/2019,153,Sports,43.18,false
05/02/2019,154,Electronics,31.18,false
26/10/2019,155,Health,17.87,true
15/01/2019,156,Jewelery,3.77,false
17/07/2019,157,Books,11.97,false
25/09/2019,158,Books,7.63,false
06/05/2019,159,Home,29.22,true
20/04/2019,160,Shoes,31.52,true
25/01/2019,161,Baby,11.07,true
22/01/2019,162,Computers,49.90,false
05/03/2019,163,Toys,22.19,false
18/11/2019,164,Shoes,47.69,true
17/10/2019,165,Health,31.21,true
20/08/2019,166,Books,45.26,false
09/08/2019,167,Outdoors,11.17,false
15/05/2019,168,Garden,4.66,true
14/08/2019,169,Shoes,22.63,true
21/03/2019,170,Garden,32.18,false
04/03/2019,171,Games,41.11,true
26/09/2019,172,Games,8.31,false
03/12/2019,173,Electronics,10.38,false
29/11/2019,174,Health,38.42,true
28/03/2019,175,Beauty,1.08,true
18/09/2019,176,Outdoors,31.14,false
07/01/2019,177,Beauty,28.77,false
10/07/2019,178,Grocery,31.60,false
07/06/2019,179,Computers,3.09,true
08/05/2019,180,Industrial,10.40,true
23/06/2019,181,Health,16.77,true
09/07/2019,182,Health,44.12,false
08/09/2019,183,Home,32.62,false
24/10/2019,184,Tools,12.91,false
03/12/2019,185,Movies,9.63,false
26/08/2019,186,Kids,47.34,true
18/05/2019,187,Books,28.61,true
19/10/2019,188,Industrial,17.58,true
10/12/2019,189,Garden,3.46,true
26/11/2019,190,Music,43.43,true
08/05/2019,191,Outdoors,4.37,false
04/02/2019,192,Books,20.57,true
26/08/2019,193,Games,11.13,true
29/03/2019,194,Health,38.26,true
26/09/2019,195,Clothing,37.00,false
29/11/2019,196,Tools,23.29,true
11/05/2019,197,Toys,9.05,true
26/07/2019,198,Baby,33.40,false
21/12/2019,199,Music,20.86,true
27/05/2019,200,Games,10.74,true
13/04/2019,201,Movies,10.80,true
14/11/2019,202,Beauty,15.56,false
29/06/2019,203,Grocery,39.52,false
01/11/2019,204,Shoes,23.80,false
07/04/2019,205,Toys,3.86,true
30/11/2019,206,Movies,38.08,false
06/06/2019,207,Kids,40.34,true
11/05/2019,208,Jewelery,41.40,false
10/05/2019,209,Books,43.60,false
12/08/2019,210,Beauty,28.70,false
11/05/2019,211,Sports,5.35,true
17/06/2019,212,Music,48.47,true
23/07/2019,213,Clothing,42.09,false
19/03/2019,214,Movies,23.96,false
23/06/2019,215,Clothing,27.56,false
06/02/2019,216,Sports,36.36,false
04/12/2019,217,Grocery,23.01,false
06/01/2019,218,Shoes,40.80,false
02/09/2019,219,Computers,32.86,false
12/11/2019,220,Jewelery,36.27,true
07/07/2019,221,Computers,35.49,false
30/11/2019,222,Music,4.75,true
31/05/2019,223,Baby,2.68,true
02/03/2019,224,Grocery,12.15,false
25/09/2019,225,Games,26.80,false
22/09/2019,226,Kids,49.20,false
24/08/2019,227,Kids,9.22,true
06/10/2019,228,Jewelery,11.24,false
03/01/2019,229,Toys,47.71,false
31/05/2019,230,Shoes,16.97,false
27/09/2019,231,Shoes,28.41,true
01/05/2019,232,Sports,36.95,true
10/06/2019,233,Books,14.68,true
22/09/2019,234,Outdoors,40.27,false
26/01/2019,235,Sports,34.53,true
02/03/2019,236,Garden,15.95,true
01/07/2019,237,Toys,49.61,false
23/09/2019,238,Kids,6.07,false
01/10/2019,239,Industrial,32.26,true
30/08/2019,240,Electronics,19.27,false
24/12/2019,241,Tools,28.25,false
21/07/2019,242,Home,36.83,true
22/04/2019,243,Electronics,17.53,true
11/03/2019,244,Tools,16.05,false
23/08/2019,245,Shoes,17.72,true
21/01/2019,246,Grocery,30.94,true
13/10/2019,247,Sports,24.21,false
16/03/2019,248,Health,6.06,true
11/10/2019,249,Health,43.28,true
13/04/2019,250,Computers,35.78,false
11/04/2019,251,Shoes,38.58,false
21/11/2019,252,Beauty,2.61,true
30/12/2019,253,Sports,48.34,false
26/02/2019,254,Jewelery,35.92,true
12/02/2019,255,Sports,23.13,false
07/01/2019,256,Garden,36.62,true
10/01/2019,257,Movies,29.02,false
25/10/2019,258,Industrial,38.47,false
02/01/2019,259,Home,8.25,false
04/02/2019,260,Industrial,36.27,false
09/02/2019,261,Baby,14.93,false
28/08/2019,262,Home,30.08,false
31/05/2019,263,Clothing,4.04,true
10/08/2019,264,Clothing,29.94,true
28/09/2019,265,Kids,15.20,false
